# Fiwo Derived Dictionary — 1727 entries
# GENERATED from Canon/derived_lexicon.json by Tools/build.py — do not edit by hand
#
# One entry per line, pipe-delimited, grouped by part of speech:
#   word | root + derivation | English key | definition
#
# The English in column 3 is a LOOKUP KEY, not a translation. Fiwo roots do not map
# one-to-one onto English words — the definition in column 4 is the actual meaning, and it is often
# narrower, wider, or differently cut than the English key suggests.
# Read the definition before using a word. If no definition covers the concept you
# want, say so and build a Rule 36 compound; never stretch a key to fit.

=== Biological Noun — 299 entries ===
abecoa | abeco o→a | Pilot | A person who flies a plane; a pilot. [Concrete Noun -> Biological Noun (handler)] Senses: 1) pilot
brandae | branda a→e | Panda-like | Made of, resembling, or relating to panda. [Biological Noun -> Modifier (like)] Senses: 1) panda-like; 2) resembling panda
brekrae | brekra a→e | Forehead-like | Made of, resembling, or relating to forehead. [Biological Noun -> Modifier (like)] Senses: 1) forehead-like; 2) resembling forehead
brempae | brempa a→e | Elbow-like | Made of, resembling, or relating to elbow. [Biological Noun -> Modifier (like)] Senses: 1) elbow-like; 2) resembling elbow
brikue | briku u→e | Regretful | Characterized by or relating to regret; regretful. [Abstract Noun -> Modifier (characterized by)] Senses: 1) regretful
brirsoe | brirso o→e | Lake-like | Made of, resembling, or relating to lake. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) lake-like; 2) resembling lake
brykloe | bryklo o→e | Bread-like | Made of, resembling, or relating to bread. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) bread-like; 2) resembling bread
bucygoe | bucygo o→e | Earthly | Of or relating to the planet Earth; terrestrial. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) earthly; 2) terrestrial
bufroe | bufro o→e | Made of copper | Made of, resembling, or relating to copper. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) made of copper; 2) coppery; 3) copper-plated
bumpie | bumpi i→e | Whiny | Inclined to complain; whiny, complaining. [Verb -> Modifier (prone to)] Senses: 1) whiny; 2) complaining
buskoe | busko o→e | Clothes-like | Made of, resembling, or relating to clothes. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) clothes-like; 2) resembling clothes
buvae | buva a→e | Cow-like, bovine | Made of, resembling, or relating to cow; cow-like, bovine. [Biological Noun -> Modifier (like)] Senses: 1) cow-like; 2) bovine
bysoe | byso o→e | Sky-like | Made of, resembling, or relating to sky. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) sky-like; 2) resembling sky
cacodue | cacodu u→e | Diagnostic | Characterized by or relating to diagnosis; diagnostic. [Abstract Noun -> Modifier (characterized by)] Senses: 1) diagnostic
cadae | cada a→e | Childlike, childish | Made of, resembling, or relating to child; childlike, childish. [Biological Noun -> Modifier (like)] Senses: 1) childlike; 2) childish
caenoe | caeno o→e | Street-like | Made of, resembling, or relating to street. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) street-like; 2) resembling street
cafloe | caflo o→e | Shadow-like | Made of, resembling, or relating to shadow. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) shadow-like; 2) resembling shadow
canpue | canpu u→e | Communal | Characterized by or relating to community; communal. [Abstract Noun -> Modifier (characterized by)] Senses: 1) communal
caqlae | caqla a→e | Boy-like | Made of, resembling, or relating to boy. [Biological Noun -> Modifier (like)] Senses: 1) boy-like; 2) resembling boy
caque | caqu u→e | Tactical | Characterized by or relating to tactic; tactical. [Abstract Noun -> Modifier (characterized by)] Senses: 1) tactical
caslae | casla a→e | Girl-like | Made of, resembling, or relating to girl. [Biological Noun -> Modifier (like)] Senses: 1) girl-like; 2) resembling girl
catsae | catsa a→e | Cat-like, feline | Made of, resembling, or relating to cat; cat-like, feline. [Biological Noun -> Modifier (like)] Senses: 1) cat-like; 2) feline
cavulkoe | cavulko o→e | Cobweb-like | Made of, resembling, or relating to cobweb. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) cobweb-like; 2) resembling cobweb
cazeblue | cazeblu u→e | Potential | Existing in possibility; latent, not yet realized. [Abstract Noun -> Modifier (characterized by)] Senses: 1) potential; 2) latent
cerojoe | cerojo o→e | Wave-like | Made of, resembling, or relating to wave. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) wave-like; 2) resembling wave
cevoloe | cevolo o→e | Log-like | Made of, resembling, or relating to log. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) log-like; 2) resembling log
cifudrue | cifudru u→e | Characteristic | Typical of a person's or thing's nature. [Abstract Noun -> Modifier (characterized by)] Senses: 1) characteristic; 2) distinctive
cihue | cihu u→e | Morning | Characterized by or relating to morning; morning. [Abstract Noun -> Modifier (characterized by)] Senses: 1) morning
cijoe | cijo o→e | Weapon-like | Made of, resembling, or relating to weapon. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) weapon-like; 2) resembling weapon
cilae | cila a→e | Leafy | Made of, resembling, or relating to leaf; leafy. [Biological Noun -> Modifier (like)] Senses: 1) leafy
cisuplue | cisuplu u→e | Tidal | Characterized by or relating to tide; tidal. [Abstract Noun -> Modifier (characterized by)] Senses: 1) tidal
ciswoe | ciswo o→e | Barrel-like | Made of, resembling, or relating to barrel. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) barrel-like; 2) resembling barrel
clapoe | clapo o→e | Clock-like | Made of, resembling, or relating to clock. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) clock-like; 2) resembling clock
coboe | cobo o→e | Fog-like | Made of, resembling, or relating to fog. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) fog-like; 2) resembling fog
corfae | corfa a→e | Monkey-like, simian | Made of, resembling, or relating to monkey; monkey-like, simian. [Biological Noun -> Modifier (like)] Senses: 1) monkey-like; 2) simian
cosae | cosa a→e | Skin-like | Made of, resembling, or relating to skin. [Biological Noun -> Modifier (like)] Senses: 1) skin-like; 2) resembling skin
cotie | coti i→e | Carved | Tending toward, or involving, the action 'cut'. [Verb -> Modifier (prone to)] Senses: 1) carved; 2) trimmed; 3) hewn
cowabae | cowaba a→e | Donkey-like | Made of, resembling, or relating to donkey. [Biological Noun -> Modifier (like)] Senses: 1) donkey-like; 2) resembling donkey
cuacae | cuaca a→e | Bear-like | Made of, resembling, or relating to bear. [Biological Noun -> Modifier (like)] Senses: 1) bear-like; 2) resembling bear
cubastoe | cubasto o→e | Sphere-like | Made of, resembling, or relating to sphere. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) sphere-like; 2) resembling sphere
cudzae | cudza a→e | Wolf-like, lupine | Made of, resembling, or relating to wolf; wolf-like, lupine. [Biological Noun -> Modifier (like)] Senses: 1) wolf-like; 2) lupine
cufue | cufu u→e | Purposeful | Characterized by or relating to goal; purposeful. [Abstract Noun -> Modifier (characterized by)] Senses: 1) purposeful
cugoe | cugo o→e | Eraser-like | Made of, resembling, or relating to eraser. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) eraser-like; 2) resembling eraser
cukie | cuki i→e | Combative | Inclined to fight or argue; combative, quarrelsome. [Verb -> Modifier (prone to)] Senses: 1) combative; 2) quarrelsome
cumeswoe | cumeswo o→e | Dew-like | Made of, resembling, or relating to dew. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) dew-like; 2) resembling dew
cuskamae | cuskama a→e | Devilish | Resembling or characteristic of a devil; wicked. [Biological Noun -> Modifier (like)] Senses: 1) devilish; 2) diabolical
cuspoe | cuspo o→e | Beacon-like | Made of, resembling, or relating to beacon. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) beacon-like; 2) resembling beacon
cysmoe | cysmo o→e | Village-like | Made of, resembling, or relating to village. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) village-like; 2) resembling village
cyvae | cyva a→e | Stranger-like | Made of, resembling, or relating to stranger. [Biological Noun -> Modifier (like)] Senses: 1) stranger-like; 2) resembling stranger
cyxoe | cyxo o→e | Beach-like | Made of, resembling, or relating to beach. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) beach-like; 2) resembling beach
dafae | dafa a→e | Stomach-like | Made of, resembling, or relating to stomach. [Biological Noun -> Modifier (like)] Senses: 1) stomach-like; 2) resembling stomach
dahue | dahu u→e | Valuable | Characterized by or relating to value; valuable. [Abstract Noun -> Modifier (characterized by)] Senses: 1) valuable
dangue | dangu u→e | relating to a vacation or holiday | Relating to a vacation or holiday; leisure-related. [Abstract Noun -> Modifier (characterized by)] Senses: 1) relating to a vacation or holiday
dawye | dawy y→e | Resultant | Arising as a result; resultant, consequent. [Preposition -> Modifier (positioned)] Senses: 1) resultant; 2) consequent
daxokoe | daxoko o→e | Frost-like | Made of, resembling, or relating to frost. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) frosted; 2) frost-covered; 3) icy-crusted
decue | decu u→e | Attitudinal | Characterized by or relating to attitude; attitudinal. [Abstract Noun -> Modifier (characterized by)] Senses: 1) attitudinal
dedapae | dedapa a→e | Thumb-like | Made of, resembling, or relating to thumb. [Biological Noun -> Modifier (like)] Senses: 1) thumb-like; 2) resembling thumb
degoe | dego o→e | Table-like | Made of, resembling, or relating to table. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) table-like; 2) resembling table
dekye | deky y→e | Inner | Located on the inside; inner or internal. [Preposition -> Modifier (positioned)] Senses: 1) inner; 2) internal
deluflue | deluflu u→e | Budgetary | Relating to or governed by a budget. [Abstract Noun -> Modifier (characterized by)] Senses: 1) budgetary
deqazue | deqazu u→e | Departmental | Characterized by or relating to department; departmental. [Abstract Noun -> Modifier (characterized by)] Senses: 1) departmental
detae | deta a→e | Dog-like, canine | Made of, resembling, or relating to dog; dog-like, canine. [Biological Noun -> Modifier (like)] Senses: 1) dog-like; 2) canine
dewedue | dewedu u→e | Tuesday | Characterized by or relating to tuesday; tuesday. [Abstract Noun -> Modifier (characterized by)] Senses: 1) tuesday
dibroe | dibro o→e | Block-like | Made of, resembling, or relating to block. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) block-like; 2) resembling block
difoe | difo o→e | Liquid-like | Made of, resembling, or relating to liquid. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) liquid-like; 2) resembling liquid
dikoe | diko o→e | Solid-like | Made of, resembling, or relating to solid. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) solid-like; 2) resembling solid
dilujue | diluju u→e | Account-related | Characterized by or relating to an account or ledger; account-related, accounting. [Abstract Noun -> Modifier (characterized by)] Senses: 1) account-related; 2) accounting
dionue | dionu u→e | Temporal | Characterized by or relating to time; temporal. [Abstract Noun -> Modifier (characterized by)] Senses: 1) temporal
disoe | diso o→e | Gas-like | Made of, resembling, or relating to gas. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) gas-like; 2) resembling gas
dixae | dixa a→e | Shark-like | Made of, resembling, or relating to shark. [Biological Noun -> Modifier (like)] Senses: 1) shark-like; 2) resembling shark
dizabae | dizaba a→e | Of a skeleton | Of, like, or befitting a skeleton. [Biological Noun -> Modifier (like)] Senses: 1) of a skeleton; 2) skeletal; 3) bone-frame
dodue | dodu u→e | Universal | Characterized by or relating to universe; universal. [Abstract Noun -> Modifier (characterized by)] Senses: 1) universal
dofemoe | dofemo o→e | Court-like | Made of, resembling, or relating to court. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) court-like; 2) resembling court
domloe | domlo o→e | Rain-like | Made of, resembling, or relating to rain. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) rain-like; 2) resembling rain
doralae | dorala a→e | Back (anatomy)-like | Made of, resembling, or relating to back (anatomy). [Biological Noun -> Modifier (like)] Senses: 1) back (anatomy)-like; 2) resembling back (anatomy)
dorsoe | dorso o→e | Wet / Aquatic | Made of or relating to water; wet, aquatic. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) wet; 2) aquatic; 3) watery
dowoe | dowo o→e | Woolen | Made of, resembling, or relating to wool; woolen. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) woolen
drafoe | drafo o→e | Wheel-like | Made of, resembling, or relating to wheel. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) wheel-like; 2) resembling wheel
drekoe | dreko o→e | Made of stone | Made of, resembling, or relating to rock. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) made of stone; 2) rocky; 3) stone-built
dubizie | dubizi i→e | Spawning | Tending toward, or involving, the action 'spawn'. [Verb -> Modifier (prone to)] Senses: 1) spawning; 2) birth-related; 3) spawn-point
ducoe | duco o→e | Mirrored | Made of, resembling, or relating to mirror. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) mirrored; 2) mirror-image; 3) reflected
due | du u→e | Daily | Occurring each day, or belonging to the daytime. [Abstract Noun -> Modifier (characterized by)] Senses: 1) daily; 2) daytime
dugue | dugu u→e | Nocturnal | Characterized by or relating to night; nocturnal. [Abstract Noun -> Modifier (characterized by)] Senses: 1) nocturnal
durye | dury y→e | Simultaneous | Happening during the same time; simultaneous, concurrent. [Preposition -> Modifier (positioned)] Senses: 1) simultaneous; 2) concurrent
dyrpoe | dyrpo o→e | Plank-like | Made of, resembling, or relating to plank. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) plank-like; 2) resembling plank
dysae | dysa a→e | Tongue-like | Made of, resembling, or relating to tongue. [Biological Noun -> Modifier (like)] Senses: 1) tongue-like; 2) resembling tongue
dzocoe | dzoco o→e | Pottery-like | Made of, resembling, or relating to pottery. [Concrete Noun -> Modifier (material/resemblance)] Senses: 1) pottery-like; 2) resembling pottery
